ts,datetime,connections_30s,unique_dst_ports_30s,unique_dst_ips_30s,failed_conn_rate_30s,dns_rate_30s,avg_conn_duration_30s,outbound_ratio_30s,bytes_per_sec_30s,port_entropy_30s,burst_score_30s,conn_rate_per_ip_30s,unique_ports_per_ip_30s,connections_1m,unique_dst_ports_1m,unique_dst_ips_1m,failed_conn_rate_1m,dns_rate_1m,avg_conn_duration_1m,outbound_ratio_1m,bytes_per_sec_1m,port_entropy_1m,burst_score_1m,conn_rate_per_ip_1m,unique_ports_per_ip_1m,connections_5m,unique_dst_ports_5m,unique_dst_ips_5m,failed_conn_rate_5m,dns_rate_5m,avg_conn_duration_5m,outbound_ratio_5m,bytes_per_sec_5m,port_entropy_5m,burst_score_5m,conn_rate_per_ip_5m,unique_ports_per_ip_5m,flag_port_scan,flag_brute_force,flag_burst,flag_dns_flood,flag_any
1778533452.614906,2026-05-12 00:04:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,19,2,2,0.0,0.0467,0.0498,0.0,8.71,0.052,0.1621,0.0467,1,0,0,0,0,0
1778533482.614906,2026-05-12 00:04:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,18,2,2,0.0,0.0467,0.0526,0.0,8.34,0.0478,0.181,0.0467,1,0,0,0,0,0
1778533512.614906,2026-05-12 00:05:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533542.614906,2026-05-12 00:05:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533572.614906,2026-05-12 00:06:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533602.614906,2026-05-12 00:06:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533632.614906,2026-05-12 00:07:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533662.614906,2026-05-12 00:07:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533692.614906,2026-05-12 00:08:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533722.614906,2026-05-12 00:08:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533752.614906,2026-05-12 00:09:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533782.614906,2026-05-12 00:09:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533812.614906,2026-05-12 00:10:12,1,1,1,0.0,0.0,0.0001,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0001,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533842.614906,2026-05-12 00:10:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0001,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533872.614906,2026-05-12 00:11:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533902.614906,2026-05-12 00:11:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533932.614906,2026-05-12 00:12:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533962.614906,2026-05-12 00:12:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778533992.614906,2026-05-12 00:13:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534022.614906,2026-05-12 00:13:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534052.614906,2026-05-12 00:14:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534082.614906,2026-05-12 00:14:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534112.614906,2026-05-12 00:15:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534142.614906,2026-05-12 00:15:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534172.614906,2026-05-12 00:16:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534202.614906,2026-05-12 00:16:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534232.614906,2026-05-12 00:17:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534262.614906,2026-05-12 00:17:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534292.614906,2026-05-12 00:18:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534322.614906,2026-05-12 00:18:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534352.614906,2026-05-12 00:19:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534382.614906,2026-05-12 00:19:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,0,0,0,0,0
1778534412.614906,2026-05-12 00:20:12,1,1,1,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0001,0.0167,1,0,0,0,0,0
1778534442.614906,2026-05-12 00:20:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0167,1,5,1,1,0.0,0.0,0.0,0.0,1.87,0.0,0.0001,0.0167,1,0,0,0,0,0
1778534472.614906,2026-05-12 00:21:12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,1,0.0,0.0,0.0,0.0,1.49,0.0,0.0001,0.0133,1,0,0,0,0,0
1778534502.614906,2026-05-12 00:21:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,1,0.0,0.0,0.0,0.0,1.49,0.0,0.0001,0.0133,1,0,0,0,0,0
1778534532.614906,2026-05-12 00:22:12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,1,0.0,0.0,0.0,0.0,1.12,0.0,0.0001,0.01,1,0,0,0,0,0
1778534562.614906,2026-05-12 00:22:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,1,0.0,0.0,0.0,0.0,1.12,0.0,0.0001,0.01,1,0,0,0,0,0
1778534592.614906,2026-05-12 00:23:12,1,1,1,0.0,0.0,0.0688,1.0,1.6,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,0.0688,1.0,0.8,0.0,0.0,0.0167,1,3,2,2,0.0,0.0,0.023,0.3333,0.91,0.0574,0.0534,0.0067,1,0,0,0,0,0
1778534622.614906,2026-05-12 00:23:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0688,1.0,0.8,0.0,0.0,0.0167,1,3,2,2,0.0,0.0,0.023,0.3333,0.91,0.0574,0.0534,0.0067,1,0,0,0,0,0
1778534652.614906,2026-05-12 00:24:12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,0.0,0.0,0.0344,0.5,0.53,0.0625,0.0,0.0033,1,0,0,0,0,0
1778534682.614906,2026-05-12 00:24:42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,0.0,0.0,0.0344,0.5,0.53,0.0625,0.0,0.0033,1,0,0,0,0,0
1778534712.614906,2026-05-12 00:25:12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0688,1.0,0.16,0.0,0.0,0.0033,1,0,0,0,0,0
